FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan
88,3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,52,1,51,12,1,11,21,5,4,1,11,
89,3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,45,1,44,22,0,22,11,3,5,1,2,
90,3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,50,0,50,12,0,12,12,4,3,2,3,
91,3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,46,1,45,7,3,4,11,2,2,2,5,
92,3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,150,1,149,19,4,15,25,6,7,6,6,
93,3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,81,1,80,48,0,48,18,10,6,2,0,
94,3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,117,5,112,32,2,30,9,3,4,1,1,
95,3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,211,2,209,56,0,56,11,7,2,1,1,
96,3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,69,0,69,18,3,15,22,6,8,3,5,
97,3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,37,0,37,2,0,2,29,8,6,5,10,
98,3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,15,0,15,5,0,5,3,0,1,2,0,
99,3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,37,2,35,14,3,11,21,2,7,0,12,
100,3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,52,0,52,20,3,17,22,5,5,0,12,
101,3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,47,2,45,13,0,13,12,5,4,0,3,
102,3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,47,1,46,18,2,16,20,9,4,0,7,
103,3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,67,2,65,17,2,15,25,8,6,0,11,
104,3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,143,0,143,16,0,16,14,5,6,2,1,
105,3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,99,1,98,22,0,22,10,3,3,2,2,
106,3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,34,0,34,13,1,12,14,4,4,2,4,
107,3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,39,0,39,28,3,25,17,9,5,1,2,
108,3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,6,0,6,2,0,2,5,3,1,1,0,
109,3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,27,0,27,6,0,6,17,5,7,3,2,
110,3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,87,0,87,22,2,20,29,9,9,2,9,
111,3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,84,1,83,12,0,12,7,2,3,0,2,
112,3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,68,2,66,17,1,16,15,4,7,0,4,
